IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
104.16.242.167,4,4,0.00,67.56,31.11
172.64.157.93,4,4,0.00,58.55,30.33
104.16.153.200,4,4,0.00,58.91,28.92
104.16.151.110,4,4,0.00,61.67,28.87
104.17.212.221,4,4,0.00,61.25,27.97
172.64.229.78,4,4,0.00,62.63,27.62
104.17.176.32,4,4,0.00,62.44,24.32
104.17.208.0,4,4,0.00,70.00,24.03
104.16.243.30,4,4,0.00,66.04,8.98
104.21.86.128,4,4,0.00,58.14,1.49
